Instructor,Course.Number,Total.Students,A,B,C,D,F,W,Avg.GPA
"Carter, Alison",ANTH 105,31,58%,26%,16%,0%,0%,0%,3.39
"Clancy, Kathryn B",ANTH 143,7656,67%,22%,6%,2%,2%,0%,3.48
"Clancy, Kathryn B",ANTH 249,147,63%,27%,5%,1%,2%,1%,3.47
"Rosas, Gilberto",ANTH 160,131,43%,34%,12%,5%,5%,1%,2.97
"Rosas, Gilberto",ANTH 103,731,40%,41%,14%,2%,1%,1%,3.11
"Rosas, Gilberto",LLS 320,21,43%,48%,5%,0%,5%,0%,3.18
"Rosas, Gilberto",GLBL 296,23,30%,35%,17%,17%,0%,0%,2.84
"Malhi, Ripan S",ANTH 246,1228,61%,26%,8%,2%,3%,0%,3.39
"Malhi, Ripan S",ANTH 441,52,71%,23%,4%,2%,0%,0%,3.64
"Pauketat, Timothy R",ANTH 277,32,44%,34%,16%,6%,0%,0%,3.14
"Pauketat, Timothy R",ANTH 449,21,81%,14%,5%,0%,0%,0%,3.73
"Pauketat, Timothy R",ANTH 105,416,28%,38%,24%,6%,3%,1%,2.82
"Pauketat, Timothy R",ANTH 157,33,48%,33%,9%,9%,0%,0%,3.22
"Waldrep, Lee W",ARCH 101,1072,76%,19%,3%,1%,1%,0%,3.67
"Taylor, Mark",ARCH 231,503,60%,35%,3%,1%,0%,1%,3.51
"Carpenter, Joseph A",ART 105,39,87%,10%,0%,3%,0%,0%,3.8
"McDonagh, Deana C",ARTD 328,162,72%,28%,0%,0%,0%,0%,3.65
"McDonagh, Deana C",ARTD 299,63,46%,52%,2%,0%,0%,0%,3.51
"McDonagh, Deana C",ARTD 201,122,45%,51%,2%,0%,1%,1%,3.37
"McDonagh, Deana C",ARTD 402,34,56%,41%,3%,0%,0%,0%,3.52
"McDonagh, Deana C",ARTD 401,36,61%,33%,0%,0%,6%,0%,3.43
"McDonagh, Deana C",ARTD 202,118,47%,43%,9%,0%,0%,0%,3.36
"McDonagh, Deana C",ARTD 302,38,18%,37%,39%,5%,0%,0%,2.72
"Landau, Jessica",ARTH 112,45,20%,49%,27%,4%,0%,0%,2.78
"Henry, Mollie A",ARTH 112,45,69%,22%,2%,2%,4%,0%,3.36
"Shen, Yue",ASTR 122,228,40%,37%,14%,7%,2%,0%,3.04
"Mouschovias, Telemachos C",ASTR 210,101,15%,35%,27%,17%,6%,1%,2.36
"Lasher-Trapp, Sonia",ATMS 301,50,22%,38%,26%,10%,2%,2%,2.72
"White, B J",BADM 199,66,89%,9%,0%,0%,2%,0%,3.79
"White, B J",LAW 792,29,97%,3%,0%,0%,0%,0%,3.83
"White, B J",BADM 590,35,86%,14%,0%,0%,0%,0%,3.77
"Quarton, John E",BADM 261,125,98%,2%,1%,0%,0%,0%,3.97
"Quarton, John E",BADM 199,50,96%,4%,0%,0%,0%,0%,3.96
"Ng, Andy Ho Man",BADM 322,224,67%,32%,1%,0%,0%,0%,3.6
"Fernandez Corra, Carla B",BADM 350,79,87%,11%,1%,0%,0%,0%,3.82
"Yao, Kun",BADM 381,192,75%,24%,1%,0%,0%,1%,3.72
"Yao, Kun",BADM 582,151,92%,8%,0%,0%,0%,0%,3.82
"Leblebici, Huseyin",BADM 508,810,77%,23%,0%,0%,0%,0%,3.68
"Leblebici, Huseyin",BADM 509,71,83%,17%,0%,0%,0%,0%,3.82
"Leblebici, Huseyin",BADM 590,25,68%,32%,0%,0%,0%,0%,3.73
"Qualls, William J",BADM 520,873,64%,35%,1%,0%,0%,0%,3.6
"Qualls, William J",BADM 590,153,84%,14%,1%,0%,0%,0%,3.83
"Qualls, William J",BADM 420,33,58%,42%,0%,0%,0%,0%,3.4
"Qualls, William J",BADM 525,51,8%,90%,2%,0%,0%,0%,3.15
"Pan, Dipanjan",BIOE 201,101,79%,20%,1%,0%,0%,0%,3.76
"Pan, Dipanjan",BIOE 498,26,77%,23%,0%,0%,0%,0%,3.78
"Insana, Michael",BIOE 504,138,74%,23%,3%,0%,0%,0%,3.66
"Insana, Michael",BIOE 298,68,50%,41%,9%,0%,0%,0%,3.4
"Tienou, Debora",BTW 250,312,60%,35%,4%,0%,1%,0%,3.48
"Tienou, Debora",ENGL 109,48,29%,56%,12%,0%,2%,0%,3.1
"Tienou, Debora",ENGL 200,56,43%,57%,0%,0%,0%,0%,3.39
"Gallagher, John",BTW 250,89,62%,34%,4%,0%,0%,0%,3.55
"Sunia, Patricia G",BTW 250,264,84%,14%,2%,0%,0%,0%,3.75
"Sunia, Patricia G",ENGL 116,47,38%,53%,6%,0%,2%,0%,3.28
"Sunia, Patricia G",ENGL 109,22,64%,36%,0%,0%,0%,0%,3.53
"Sunia, Patricia G",ENGL 200,29,55%,38%,0%,0%,7%,0%,3.24
"Khatiblou, Roya",BTW 250,250,61%,36%,1%,2%,0%,0%,3.5
"Khatiblou, Roya",BTW 261,22,64%,36%,0%,0%,0%,0%,3.61
"Minicucci, Matthew P",BTW 250,193,91%,8%,1%,0%,1%,0%,3.87
"Minicucci, Matthew P",CW 243,23,74%,9%,13%,0%,0%,4%,3.67
"Roesler, Jeffery R",CEE 398,33,76%,24%,0%,0%,0%,0%,3.72
"Roesler, Jeffery R",CEE 415,223,21%,54%,23%,2%,0%,0%,2.92
"Roesler, Jeffery R",CEE 506,68,51%,41%,6%,0%,0%,1%,3.41
"Roesler, Jeffery R",CEE 406,139,40%,35%,16%,4%,4%,1%,2.97
"Hernandez-Urrea, Jaime A",CEE 406,42,45%,33%,14%,0%,7%,0%,3.11
"Work, Daniel",CEE 498,173,86%,10%,3%,1%,0%,0%,3.74
"Kang, Thomas",CEE 598,26,77%,23%,0%,0%,0%,0%,3.69
"Diao, Ying",CHBE 421,194,29%,25%,42%,1%,2%,1%,2.79
"Huynh, Mioy T",CHEM 101,311,25%,37%,26%,6%,5%,1%,2.71
"Li, Ke",CHEM 103,130,78%,14%,2%,3%,3%,0%,3.62
"Bhatti, Muhammed A",CHEM 103,106,89%,9%,1%,0%,1%,0%,3.81
"Krumov, Mihail R",CHEM 103,160,84%,11%,2%,1%,2%,1%,3.72
"Nawa, Emilee A",CHEM 103,57,89%,7%,0%,0%,4%,0%,3.76
"Nawa, Emilee A",CHEM 105,59,86%,14%,0%,0%,0%,0%,3.86
"Yoon, Young Hee",CHEM 103,46,80%,13%,2%,0%,2%,2%,3.71
"Pang, Weilun",CHEM 103,139,85%,11%,4%,1%,0%,0%,3.76
"Ibrahim, George A",CHEM 103,133,80%,13%,5%,1%,1%,1%,3.71
"Brown, Tiara L",CHEM 103,105,83%,9%,7%,0%,1%,1%,3.72
"Li, Jingyu",CHEM 103,52,87%,12%,2%,0%,0%,0%,3.83
"Cadavillo, Nicole V",CHEM 103,110,81%,15%,1%,1%,2%,0%,3.72
"Baig, Noman",CHEM 105,155,94%,5%,1%,0%,1%,0%,3.91
"Wang, Yiming",CHEM 105,203,92%,5%,2%,0%,0%,0%,3.89
"Wang, Jiachen",CHEM 105,86,97%,2%,1%,0%,0%,0%,3.95
"Oswald, Kelsey A",CHEM 199,21,90%,0%,5%,0%,5%,0%,3.73
"Rodriguez Lopez, Joaquin",CHEM 222,523,61%,28%,8%,1%,0%,1%,3.46
"Rodriguez Lopez, Joaquin",CHEM 588,23,78%,22%,0%,0%,0%,0%,3.73
"Burke, Martin",CHEM 236,265,25%,34%,33%,6%,2%,0%,2.71
"Burke, Martin",CHEM 436,407,31%,37%,29%,2%,1%,0%,3
"Hergenrother, Paul",CHEM 436,27,22%,37%,22%,4%,15%,0%,2.48
"Hergenrother, Paul",CHEM 237,354,25%,34%,35%,4%,1%,1%,2.76
"Hergenrother, Paul",CHEM 590,26,46%,50%,4%,0%,0%,0%,3.46
"Gruebele, Martin H",CHEM 442,219,48%,44%,6%,0%,0%,1%,3.41
"Gruebele, Martin H",CHEM 202,1077,23%,42%,33%,1%,0%,0%,2.86
"Darfour-Oduro, Sandra A",CHLH 100,89,61%,29%,7%,3%,0%,0%,3.47
"Darfour-Oduro, Sandra A",CHLH 274,703,47%,42%,9%,2%,0%,0%,3.31
"Darfour-Oduro, Sandra A",CHLH 206,113,56%,30%,12%,3%,0%,0%,3.34
"Nwaozuru, Ucheoma C",CHLH 101,78,59%,37%,3%,0%,1%,0%,3.51
"Siebel, Marissa B",CHLH 101,68,63%,26%,4%,3%,1%,1%,3.44
"Siebel, Marissa B",REHB 330,190,67%,30%,2%,0%,1%,0%,3.6
"Siebel, Marissa B",REHB 435,90,90%,9%,1%,0%,0%,0%,3.89
"Siebel, Marissa B",CHLH 243,23,87%,9%,4%,0%,0%,0%,3.84
"Jackson, Jessica F",CHLH 101,33,85%,9%,3%,3%,0%,0%,3.68
"Stellrecht, Angela",CHLH 101,34,76%,15%,6%,0%,3%,0%,3.52
"Pierce, Danielle M",CHLH 210,524,70%,24%,4%,1%,0%,0%,3.6
"Pierce, Danielle M",CHLH 101,362,52%,34%,12%,1%,1%,0%,3.29
"Lara-Cinisomo, Sandraluz",CHLH 540,24,92%,8%,0%,0%,0%,0%,3.92
"Bankhead, Tekita",CHP 199,29,90%,7%,3%,0%,0%,0%,3.86
"Kessler, Meghan A",CI 403,23,87%,13%,0%,0%,0%,0%,3.88
"Harrison, Dorian L",CI 406,47,57%,32%,9%,0%,2%,0%,3.4
"Harrison, Dorian L",CI 407,51,69%,25%,4%,0%,0%,2%,3.65
"Harrison, Dorian L",CI 475,24,29%,71%,0%,0%,0%,0%,3.17
"Harrison, Dorian L",CI 405,26,54%,35%,12%,0%,0%,0%,3.32
"Olguin, Ana A",CI 422,25,76%,24%,0%,0%,0%,0%,3.67
"Gerardo, Juan M",CI 430,76,82%,18%,0%,0%,0%,0%,3.82
"Presiado, Vivian E",CI 433,58,91%,9%,0%,0%,0%,0%,3.86
"Leon Ruiz, Daniel W",CLCV 114,153,24%,35%,25%,8%,8%,1%,2.61
"Leon Ruiz, Daniel W",CLCV 221,26,69%,19%,12%,0%,0%,0%,3.51
"Chandler, Erin D",CLCV 115,54,35%,48%,13%,0%,4%,0%,3.1
"Chandler, Erin D",ENGL 109,86,70%,27%,2%,1%,0%,0%,3.51
"Chandler, Erin D",BTW 250,134,54%,38%,6%,1%,1%,0%,3.36
"Chandler, Erin D",ENGL 120,34,47%,44%,6%,0%,3%,0%,3.28
"Chandler, Erin D",ENGL 202,29,41%,48%,7%,3%,0%,0%,3.17
"Bosak-Schroeder, Clara R",CLCV 220,52,40%,42%,10%,4%,2%,2%,3.13
"Bosak-Schroeder, Clara R",CLCV 114,26,62%,38%,0%,0%,0%,0%,3.54
"Williamson, Lillie D",CMN 260,28,46%,43%,11%,0%,0%,0%,3.32
"Tewksbury, David H",CMN 277,1526,27%,40%,21%,8%,4%,1%,2.76
"Wehrman, Erin C",CMN 336,145,54%,37%,4%,3%,1%,1%,3.38
"Wehrman, Erin C",CMN 230,296,38%,47%,12%,2%,1%,0%,3.18
"Weickum, Nikki R",CMN 340,25,72%,20%,8%,0%,0%,0%,3.57
"Weinzierl, Richard A",CPSC 270,329,43%,30%,22%,2%,1%,1%,3.09
"Juvik, John A",CPSC 419,58,95%,3%,0%,0%,2%,0%,3.88
"Juvik, John A",HORT 447,21,71%,14%,14%,0%,0%,0%,3.57
"Riechers, Dean E",CPSC 426,217,56%,38%,6%,0%,0%,0%,3.49
"Hellwig, Martin",CS 105,1171,69%,24%,4%,1%,2%,0%,3.56
"Peng, Jian",CS 361,66,53%,32%,12%,2%,2%,0%,3.37
"Peng, Jian",CS 466,39,59%,41%,0%,0%,0%,0%,3.66
"Peng, Jian",CS 598,21,95%,5%,0%,0%,0%,0%,3.94
"Adve, Vikram S",CS 426,104,52%,35%,9%,1%,3%,1%,3.29
"Heath, Michael T",CS 450,461,38%,42%,15%,2%,1%,2%,3.13
"Heath, Michael T",CS 357,185,25%,35%,28%,8%,3%,1%,2.68
"Heath, Michael T",CS 554,123,68%,30%,0%,0%,0%,2%,3.64
"Tierney, Robert",CWL 114,46,76%,22%,0%,2%,0%,0%,3.72
"Tierney, Robert",EALC 306,78,50%,38%,5%,0%,5%,1%,3.22
"Tierney, Robert",EALC 415,28,57%,39%,4%,0%,0%,0%,3.49
"Simson, Kirstie",DANC 100,85,89%,9%,1%,0%,0%,0%,3.82
"Simson, Kirstie",DANC 150,48,94%,4%,0%,0%,2%,0%,3.83
"Simson, Kirstie",DANC 360,21,71%,14%,10%,5%,0%,0%,3.49
"Simson, Kirstie",DANC 261,24,62%,25%,8%,0%,4%,0%,3.29
"Simson, Kirstie",DANC 162,21,76%,24%,0%,0%,0%,0%,3.65
"Nance, Curtis K",DANC 112,25,28%,56%,12%,0%,4%,0%,2.97
"Zbikowski, Abigail L",DANC 112,50,90%,8%,0%,2%,0%,0%,3.7
"Zbikowski, Abigail L",DANC 360,22,45%,50%,5%,0%,0%,0%,3.33
"Hook, Sara",DANC 360,89,69%,31%,0%,0%,0%,0%,3.66
"Hook, Sara",DANC 109,23,96%,4%,0%,0%,0%,0%,3.88
"Lou, Weng Heng",EALC 275,21,38%,57%,0%,0%,5%,0%,3.19
"Kar, Arunita",ECE 206,30,73%,27%,0%,0%,0%,0%,3.69
"Basar, Tangul",ECE 210,738,32%,34%,25%,5%,3%,1%,2.86
"Basar, Tangul",ECE 459,25,52%,36%,8%,0%,0%,4%,3.4
"Basar, Tangul",ECE 313,48,23%,29%,31%,15%,0%,2%,2.66
"Akyol, Emrah",ECE 210,88,34%,36%,20%,5%,5%,0%,2.93
"Levinson, Stephen E",ECE 310,134,29%,40%,20%,7%,2%,1%,2.85
"Levinson, Stephen E",MATH 487,44,48%,43%,9%,0%,0%,0%,3.37
"Levinson, Stephen E",ECE 420,95,47%,46%,6%,0%,0%,0%,3.4
"Levinson, Stephen E",ECE 210,84,25%,39%,29%,2%,5%,0%,2.77
"Kamalabadi, Farzad",ECE 313,109,20%,30%,36%,12%,1%,1%,2.56
"Kamalabadi, Farzad",ECE 310,72,32%,39%,26%,1%,0%,1%,3.06
"Kamalabadi, Farzad",ECE 210,66,23%,33%,38%,3%,2%,2%,2.74
"Kamalabadi, Farzad",ECE 418,26,50%,35%,15%,0%,0%,0%,3.36
"Chen, Xu",ECE 329,89,44%,28%,19%,2%,6%,1%,3.03
"Dragic, Peter D",ECE 329,304,34%,37%,20%,5%,4%,1%,2.91
"Dragic, Peter D",ECE 350,47,40%,36%,23%,0%,0%,0%,3.11
"Dragic, Peter D",ENG 198,90,77%,14%,8%,1%,0%,0%,3.7
"Gao, Liang",ECE 380,32,72%,25%,3%,0%,0%,0%,3.65
"Carney, Paul S",ECE 398,52,85%,8%,2%,0%,6%,0%,3.63
"Carney, Paul S",ECE 445,770,45%,29%,18%,5%,2%,0%,3.05
"Carney, Paul S",ECE 569,22,95%,5%,0%,0%,0%,0%,3.88
"Carney, Paul S",ECE 340,138,30%,38%,22%,10%,0%,0%,2.87
"Carney, Paul S",ECE 440,33,42%,21%,27%,3%,6%,0%,2.8
"Gao, Xingxin",ECE 456,54,46%,37%,6%,6%,4%,2%,3.14
"Gao, Xingxin",AE 483,92,70%,24%,3%,1%,1%,1%,3.53
"Patel, Janak H",ECE 462,65,49%,42%,6%,0%,3%,0%,3.29
"Pilawa Podgursk, Robert C",ECE 464,192,40%,30%,21%,9%,0%,0%,2.99
"Pilawa Podgursk, Robert C",ECE 469,95,60%,33%,6%,1%,0%,0%,3.44
"Overbye, Thomas J",ECE 476,198,34%,55%,9%,1%,0%,1%,3.21
"Overbye, Thomas J",ECE 333,216,36%,48%,14%,2%,0%,0%,3.14
"Overbye, Thomas J",ECE 576,23,96%,4%,0%,0%,0%,0%,3.87
"Raginsky, Maxim",ECE 486,185,66%,26%,4%,2%,1%,0%,3.6
"Raginsky, Maxim",ECE 534,65,65%,29%,5%,0%,0%,2%,3.69
"Raginsky, Maxim",ECE 598,57,88%,12%,0%,0%,0%,0%,3.88
"Bolouki, Sadegh",ECE 515,58,64%,34%,2%,0%,0%,0%,3.62
"Vaidya, Nitin H",ECE 526,48,62%,38%,0%,0%,0%,0%,3.6
"Vaidya, Nitin H",CS 425,432,36%,44%,16%,3%,1%,0%,3.13
"Vaidya, Nitin H",CS 438,147,39%,38%,19%,3%,1%,0%,3.07
"Vaidya, Nitin H",ECE 110,238,39%,29%,21%,6%,4%,1%,2.89
"Nicol, David M",ECE 541,48,69%,29%,2%,0%,0%,0%,3.58
"Nicol, David M",CS 461,154,32%,42%,24%,2%,0%,0%,3.03
"Nicol, David M",ECE 190,87,29%,23%,25%,16%,5%,2%,2.55
"Huang, Yi",ECON 102,151,61%,26%,8%,3%,1%,0%,3.44
"Cooke, Diana A",ECON 102,149,68%,25%,3%,2%,1%,0%,3.6
"Sun, Lingling",ECON 102,381,57%,30%,9%,4%,0%,0%,3.37
"Sun, Lingling",ECON 103,702,30%,37%,22%,8%,3%,1%,2.82
"Cantet, Maria N",ECON 102,217,64%,24%,8%,2%,1%,0%,3.51
"Constantinou, Evangelos",ECON 102,176,46%,38%,10%,5%,2%,0%,3.22
"Zhang, Zheng",ECON 103,1027,28%,38%,20%,10%,4%,1%,2.74
"Zhang, Zheng",ECON 302,128,68%,25%,5%,2%,0%,0%,3.59
"Olivares Gonzal, Mauricio",ECON 203,206,25%,27%,28%,12%,7%,1%,2.51
"Olivares Gonzal, Mauricio",ECON 103,66,21%,44%,27%,5%,3%,0%,2.78
"Munoz Morales, Juan S",ECON 203,311,29%,32%,21%,13%,3%,2%,2.71
"Leite Estanisla, Luiz Fel",ECON 420,41,20%,32%,32%,5%,10%,2%,2.48
"Leite Estanisla, Luiz Fel",ECON 220,83,29%,34%,20%,8%,7%,1%,2.69
"Leite Estanisla, Luiz Fel",ECON 202,56,21%,36%,32%,4%,4%,4%,2.7
"Leite Estanisla, Luiz Fel",ECON 103,221,21%,43%,27%,5%,3%,1%,2.77
"D'Almeida, Fabricio R",FIN 221,238,39%,34%,20%,7%,0%,0%,3.03
"Lee, JiHyung",ECON 490,54,61%,35%,0%,0%,2%,2%,3.59
"Shin, Min Chul",ECON 490,51,63%,35%,2%,0%,0%,0%,3.65
"Koenker, Roger W",ECON 536,34,74%,26%,0%,0%,0%,0%,3.61
"Span, Christopher",EDUC 201,174,90%,8%,1%,0%,1%,0%,3.85
"Span, Christopher",EPS 201,46,85%,15%,0%,0%,0%,0%,3.79
"Span, Christopher",EPS 202,118,75%,22%,1%,2%,1%,0%,3.66
"Franks, Suzanne C",EIL 411,43,91%,2%,5%,0%,0%,2%,3.83
"Franks, Suzanne C",EIL 422,27,85%,11%,0%,4%,0%,0%,3.75
"Yan, Xun",EIL 460,53,91%,9%,0%,0%,0%,0%,3.86
"Favila, Ivanhoe",ENG 199,365,85%,15%,1%,0%,0%,0%,3.82
"Yeong, Hoong Chieh",ENG 199,23,78%,22%,0%,0%,0%,0%,3.73
"Jahnke, Keilin T",ENG 333,119,65%,24%,6%,2%,3%,0%,3.4
"Capino, Jose B",ENGL 104,307,30%,57%,9%,2%,1%,1%,3.16
"Capino, Jose B",ENGL 273,33,33%,55%,9%,0%,0%,3%,3.21
"Capino, Jose B",ENGL 300,25,20%,68%,4%,0%,4%,4%,3.08
"Capino, Jose B",ENGL 373,32,22%,59%,19%,0%,0%,0%,3.1
"Capino, Jose B",ENGL 455,36,14%,72%,14%,0%,0%,0%,3.16
"Chanda, Debojoy",ENGL 109,45,96%,2%,0%,0%,2%,0%,3.87
"Chanda, Debojoy",RHET 105,22,95%,0%,0%,0%,5%,0%,3.82
"Taub, Naomi S",ENGL 109,21,19%,57%,14%,0%,10%,0%,2.71
"Taub, Naomi S",GER 260,22,45%,36%,5%,5%,5%,5%,3.27
"Lumbley, Coral",ENGL 121,32,59%,31%,6%,3%,0%,0%,3.41
"Lumbley, Coral",ENGL 103,21,62%,19%,5%,0%,14%,0%,3.1
"Wilcox, Kirstin R",ENGL 199,21,81%,10%,5%,5%,0%,0%,3.67
"Wilcox, Kirstin R",ENGL 101,28,57%,32%,7%,0%,4%,0%,3.29
"Wilcox, Kirstin R",ENGL 206,176,62%,25%,7%,2%,3%,0%,3.37
"Wilcox, Kirstin R",ENGL 109,42,52%,36%,12%,0%,0%,0%,3.39
"Wilcox, Kirstin R",ENGL 429,44,59%,14%,23%,0%,5%,0%,3.23
"Wilcox, Kirstin R",ENGL 427,34,53%,24%,21%,3%,0%,0%,3.27
"Wilcox, Kirstin R",ENGL 300,22,59%,18%,18%,0%,5%,0%,3.21
"Wilcox, Kirstin R",ENGL 250,45,56%,42%,2%,0%,0%,0%,3.46
"Sutor, Sarah A",ENGL 218,21,62%,29%,0%,0%,10%,0%,3.38
"Sutor, Sarah A",ENGL 103,24,25%,50%,12%,8%,4%,0%,2.82
"Sutor, Sarah A",ENGL 119,28,61%,25%,7%,4%,0%,4%,3.43
"Perry, Curtis",ENGL 218,26,50%,50%,0%,0%,0%,0%,3.39
"Perry, Curtis",ENGL 416,23,43%,52%,4%,0%,0%,0%,3.38
"Perry, Curtis",ENGL 423,23,48%,39%,9%,0%,0%,4%,3.42
"Perry, Curtis",ENGL 419,33,18%,70%,12%,0%,0%,0%,3.16
"Courtemanche, Eleanor",ENGL 300,67,37%,55%,7%,0%,0%,0%,3.33
"Courtemanche, Eleanor",ENGL 210,22,41%,55%,5%,0%,0%,0%,3.29
"Courtemanche, Eleanor",ENGL 435,87,46%,47%,7%,0%,0%,0%,3.36
"Courtemanche, Eleanor",ENGL 247,27,74%,22%,0%,0%,0%,4%,3.65
"Nazar, Hina",ENGL 301,84,51%,48%,1%,0%,0%,0%,3.51
"Nazar, Hina",ENGL 455,56,54%,46%,0%,0%,0%,0%,3.49
"Nazar, Hina",ENGL 461,34,41%,56%,0%,0%,3%,0%,3.36
"Prior, Paul A",ENGL 402,70,57%,34%,6%,0%,1%,1%,3.43
"Clauson, Margaret E",EOL 543,23,87%,13%,0%,0%,0%,0%,3.83
"Worm, Ted W",EPSY 220,27,63%,19%,7%,7%,4%,0%,3.32
"Stine-Morrow, Elizabeth A",EPSY 407,137,71%,25%,4%,1%,0%,0%,3.62
"Rota, Emanuel",EURO 415,76,95%,3%,1%,0%,1%,0%,3.83
"Rota, Emanuel",ITAL 240,29,76%,17%,0%,0%,7%,0%,3.54
"Wang, Shanshan",FIN 221,130,24%,36%,26%,10%,2%,2%,2.7
"Kiku, Dana",FIN 411,51,29%,37%,22%,4%,4%,4%,2.84
"Cannaday, Roger E",FIN 447,115,96%,4%,0%,0%,0%,0%,3.96
"Cannaday, Roger E",FIN 541,261,82%,18%,0%,0%,0%,0%,3.83
"Cannaday, Roger E",FIN 444,325,82%,18%,1%,0%,0%,0%,3.82
"Cannaday, Roger E",FIN 580,68,96%,4%,0%,0%,0%,0%,3.96
"Cannaday, Roger E",FIN 490,44,95%,5%,0%,0%,0%,0%,3.95
"Wang, Jialan",FIN 571,49,61%,37%,2%,0%,0%,0%,3.58
"Benbouazza, Mouna",FR 101,45,27%,51%,18%,4%,0%,0%,2.89
"Ghaderi, Anoosheh",FR 102,21,57%,24%,19%,0%,0%,0%,3.3
"Ghaderi, Anoosheh",FR 101,45,71%,18%,9%,0%,2%,0%,3.47
"Prieu, Charlotte C",FR 103,23,26%,43%,17%,13%,0%,0%,2.73
"Prieu, Charlotte C",FR 101,43,58%,30%,9%,0%,0%,2%,3.44
"Prieu, Charlotte C",FR 102,46,67%,17%,11%,4%,0%,0%,3.44
"Ndiaye, Gana",FR 103,47,32%,43%,21%,4%,0%,0%,2.94
"Ndiaye, Gana",FR 102,50,50%,34%,14%,0%,2%,0%,3.25
"Ndiaye, Gana",FR 101,23,43%,48%,9%,0%,0%,0%,3.28
"Curtin, Sean M",FR 104,21,48%,48%,0%,5%,0%,0%,3.32
"Curtin, Sean M",FR 103,25,60%,32%,4%,4%,0%,0%,3.43
"Curtin, Sean M",FR 102,25,60%,32%,4%,0%,0%,4%,3.57
"Olah, Alanna B",FSHN 398,38,74%,16%,3%,3%,5%,0%,3.4
"Burkus-Chasson, Anne",GCL 129,25,60%,40%,0%,0%,0%,0%,3.48
"Burkus-Chasson, Anne",ARTH 403,167,44%,40%,13%,2%,0%,1%,3.19
"Burkus-Chasson, Anne",ARTH 402,76,42%,39%,13%,5%,0%,0%,3.11
"Burkus-Chasson, Anne",ARTH 299,26,58%,38%,4%,0%,0%,0%,3.36
"Burgos, Adrian",GCL 200,23,78%,22%,0%,0%,0%,0%,3.7
"Burgos, Adrian",HIST 390,30,63%,30%,7%,0%,0%,0%,3.53
"Burgos, Adrian",HIST 280,179,73%,26%,1%,0%,0%,0%,3.62
"Burgos, Adrian",HIST 381,70,57%,34%,9%,0%,0%,0%,3.46
"Burgos, Adrian",HIST 281,90,31%,43%,17%,2%,7%,0%,2.87
"Burgos, Adrian",LLS 379,53,66%,26%,8%,0%,0%,0%,3.51
"Burgos, Adrian",HIST 472,30,73%,20%,3%,3%,0%,0%,3.59
"Singh, Gaurav",GE 310,56,55%,30%,9%,2%,4%,0%,3.27
"Liu, Ji",GE 320,55,56%,31%,11%,2%,0%,0%,3.33
"Spencer, Gayle",GE 361,85,69%,25%,4%,1%,1%,0%,3.55
"Chen, Zhuo",GEOG 101,24,67%,29%,0%,4%,0%,0%,3.64
"Ramprasad, Vijay",GEOG 101,45,44%,33%,16%,4%,2%,0%,3.15
"Ramprasad, Vijay",GLBL 296,21,67%,24%,5%,0%,5%,0%,3.41
"Zaimi, Rea",GEOG 106,81,74%,25%,1%,0%,0%,0%,3.64
"Rhoads, Bruce L",GEOG 406,77,47%,34%,13%,1%,5%,0%,3.13
"Rhoads, Bruce L",GEOG 103,148,48%,39%,10%,1%,1%,0%,3.31
"Hannon, Bruce M",GEOG 468,95,88%,7%,3%,0%,1%,0%,3.78
"Wang, Shaowen",GEOG 480,53,64%,34%,2%,0%,0%,0%,3.59
"Wang, Shaowen",GEOG 379,204,40%,34%,18%,4%,4%,0%,3.01
"Zhou, Quan",GEOL 100,23,65%,26%,4%,4%,0%,0%,3.45
"Marshak, Stephen",GEOL 411,232,34%,41%,17%,4%,0%,3%,3
"Marshak, Stephen",GEOL 415,23,57%,43%,0%,0%,0%,0%,3.38
"Marshak, Stephen",ESE 445,40,58%,32%,10%,0%,0%,0%,3.46
"Marshak, Stephen",GEOL 512,21,76%,24%,0%,0%,0%,0%,3.7
"Berding, Raphaela",GER 101,22,59%,41%,0%,0%,0%,0%,3.46
"Metzel, Peter",GER 101,46,76%,15%,4%,0%,4%,0%,3.53
"Metzel, Peter",GER 102,23,65%,22%,4%,0%,4%,4%,3.48
"Jenson, Jennifer E",GER 101,23,43%,35%,9%,4%,9%,0%,3.06
"Slattery, John P",GER 103,21,76%,10%,5%,5%,5%,0%,3.41
"Slattery, John P",GER 101,24,83%,8%,8%,0%,0%,0%,3.72
"Zhang, Gehui",GLBL 100,82,77%,12%,6%,2%,2%,0%,3.53
"Zhang, Gehui",SOC 380,24,38%,42%,17%,0%,0%,4%,3.27
"Zhang, Gehui",SOC 100,91,57%,40%,2%,0%,0%,1%,3.49
"Zhang, Gehui",SOC 179,27,59%,37%,4%,0%,0%,0%,3.56
"Schrag, David M",GLBL 296,45,78%,20%,2%,0%,0%,0%,3.75
"Park, Un Yeong",GS 101,45,78%,13%,7%,0%,2%,0%,3.58
"Farr, Teresa J",GS 101,176,66%,24%,2%,2%,5%,0%,3.45
"Kaste, Kaitlin M",GS 101,251,76%,15%,5%,4%,0%,0%,3.59
"Cox, Rodger S",GS 101,90,78%,11%,3%,1%,7%,0%,3.51
"Boten, January A",GS 101,45,29%,47%,18%,7%,0%,0%,2.97
"Boten, January A",AGED 260,29,90%,3%,7%,0%,0%,0%,3.83
"Surratt, Aaron T",GS 101,337,74%,14%,6%,4%,2%,0%,3.53
"Sullivan, Erin",GS 101,45,71%,20%,2%,4%,2%,0%,3.46
